
insert into TabladeTarjetas values(340383198517962, 'American Express', 'American Express', 'Karly M Soria', '42583', '46600', '23', '7758', '6065'),
(370281526606205, 'American Express', 'American Express', 'Oscar Q Rodgers', '41306', '47515', '23', '2747', '8399'),
(342382012695002, 'American Express', 'Bank of America', 'Valentine Humes', '42552', '45839', '6', '4786', '3990'),
(30584257466885, 'Diners Club International', 'Diners Club', 'Miguel P Justice', '40664', '43586', '26', '9', '3017'),
(5282295900176430, 'Master Card', 'Capital One', 'Shanna U Hsu', '42767', '47880', '20', '126', '7910'),
(6226428431376830, 'Discover', 'Discover', 'Juanita N Watts', '41883', '42614', '13', '894', '9182'),
(4961134529187300, 'Visa', 'Bank of America', 'Nana J Wilbur', '41518', '44440', '2', '871', '1887'),
(3584101278506330, 'Japan Credit Bureau', 'JCB', 'Sandra F Berry', '40664', '47604', '27', '323', '1084'),
(5442730356521020, 'Master Card', 'Citibank', 'Napoleon C Stephen', '40360', '42917', '24', '53', '927'),
(6011245276113560, 'Discover', 'Discover', 'Shirley Melendez', '41395', '47239', '7', '579', '972'),
(3587129701891610, 'Japan Credit Bureau', 'JCB', 'Bryce English', '42156', '46905', '3', '492', '6489'),
(3566002777243450, 'Japan Credit Bureau', 'JCB', 'Carmen C Holden', '42125', '46508', '22', '919', '9859'),
(3540755203328200, 'Japan Credit Bureau', 'JCB', 'Rosy X Kelly', '42156', '45078', '20', '284', '9361'),
(6221723863405530, 'Discover', 'Discover', 'Roger F Gallegos', '42309', '48884', '3', '288', '3895'),
(39509971824284, 'Diners Club International', 'Diners Club', 'Jestine D Hannan', '39356', '42644', '18', '702', '5545'),
(342716933708560, 'American Express', 'American Express', 'Amanda Nolan', '40664', '43952', '9', '2551', '1717'),
(30435533484897, 'Diners Club International', 'Diners Club', 'Minna X Booth', '39479', '40575', '25', '571', '9209'),
(3585375013017230, 'Japan Credit Bureau', 'JCB', 'Melissa Bell', '40057', '46631', '13', '804', '585'),
(5464787635749580, 'Master Card', 'Capital One', 'Latashia Mull', '41456', '43282', '8', '409', '9275'),
(5186330413599650, 'Master Card', 'Citibank', 'Patrick Middleton', '40422', '46997', '16', '676', '1623'),
(348146374924126, 'American Express', 'American Express', 'Dwain U Doss', '42552', '45839', '2', '9990', '8703'),
(30259821334097, 'Diners Club International', 'Diners Club', 'Wayne R Dunlap', '42461', '49035', '14', '219', '6969'),
(6011835807565910, 'Discover', 'Discover', 'Claudia Z Thao', '42339', '44896', '16', '27', '8027'),
(5162651713579490, 'Master Card', 'USAA', 'Pamela Clayton', '40878', '45992', '19', '146', '4159'),
(30545875252734, 'Diners Club International', 'Diners Club', 'Elvia Fain', '40634', '45017', '8', '337', '7219'),
(30393380441298, 'Diners Club International', 'Diners Club', 'Eugene H Steele', '40118', '43770', '15', '452', '5544'),
(3567878204237830, 'Japan Credit Bureau', 'JCB', 'Fabian V Flanigan', '40695', '47270', '21', '46', '2431'),
(30237077730366, 'Diners Club International', 'Diners Club', 'Ronald P Ware', '41487', '47331', '16', '911', '3060'),
(6011456851188220, 'Discover', 'Discover', 'Dean J Platt', '41061', '44348', '9', '401', '6682'),
(30573059353565, 'Diners Club International', 'Diners Club', 'Grace J Rosa', '41395', '42125', '13', '482', '1163'),
(343068404991856, 'American Express', 'American Express', 'Estrella P Coppola', '40330', '47635', '28', '3285', '6056'),
(6011699010139170, 'Discover', 'Discover', 'Linda G Sweet', '42309', '42675', '20', '86', '3240'),
(3582687872593330, 'Japan Credit Bureau', 'JCB', 'Yevette O Weis', '40330', '44348', '11', '781', '5470'),
(30375830035093, 'Diners Club International', 'Diners Club', 'Bradley C Moss', '42401', '44228', '27', '966', '9311'),
(6011940189578570, 'Discover', 'Discover', 'Margaretta S Huffman', '39295', '40391', '17', '675', '570'),
(3543021817260220, 'Japan Credit Bureau', 'JCB', 'Aaron Harvey', '39814', '43101', '2', '501', '5327'),
(348348556471500, 'American Express', 'American Express', 'Jerold L Steiner', '42491', '48700', '5', '8554', '4826'),
(30563241137653, 'Diners Club International', 'Diners Club', 'Wesley G Hensley', '40026', '44409', '9', '884', '6891'),
(6011769346193710, 'Discover', 'Discover', 'Orval X Fitzgerald', '40026', '46600', '16', '370', '3388'),
(377533393389528, 'American Express', 'Bank of America', 'Tyler Lang', '39083', '41275', '11', '374', '2694'),
(30159847410675, 'Diners Club International', 'Diners Club', 'Simone W Yount', '41974', '43800', '27', '613', '7757'),
(6011677189786480, 'Discover', 'Discover', 'Andrew Stewart', '41275', '45292', '1', '596', '5503'),
(4107086801385770, 'Visa', 'USAA', 'Kirk V Ledesma', '42856', '49065', '13', '38', '7838'),
(3553101707226550, 'Japan Credit Bureau', 'JCB', 'Alice S Mcneil', '39417', '39783', '21', '357', '988'),
(341297678051889, 'American Express', 'U.S. Bancorp', 'Lemuel Sallee', '39448', '40179', '2', '8963', '445'),
(36698956366164, 'Diners Club International', 'Diners Club', 'Cathy Schultz', '41609', '48549', '12', '728', '7225'),
(349865666658535, 'American Express', 'American Express', 'Valentine F Mcginnis', '39142', '43891', '14', '4104', '5809'),
(5483849560427330, 'Master Card', 'Citibank', 'Rachel T Benson', '40969', '48274', '8', '102', '164'),
(4028514203859570, 'Visa', 'Chase', 'Angelika Ritter', '40299', '47239', '17', '412', '6154'),
(6011352552085810, 'Discover', 'Discover', 'Judith B Pitts', '39630', '40360', '12', '139', '2895'),
(4221491731438800, 'Visa', 'Chase', 'Sidney Z Carney', '39569', '44682', '25', '270', '2912'),
(30147886920209, 'Diners Club International', 'Diners Club', 'Valerie K Morin', '39692', '43709', '8', '162', '9013'),
(5240483351468170, 'Master Card', 'Bank of America', 'Mathilda Q Gayle', '40940', '44593', '13', '657', '1631'),
(341261332403795, 'American Express', 'American Express', 'Steven O Kline', '39783', '45627', '22', '7724', '2892'),
(378778229898270, 'American Express', 'Bank of America', 'Mohammed F Bunker', '43040', '46327', '10', '6323', '6136'),
(370316447402837, 'American Express', 'American Express', 'Lynn T Mcguire', '42156', '44348', '8', '308', '2197'),
(30524499921560, 'Diners Club International', 'Diners Club', 'Petronila K Taylor', '40179', '42005', '10', '839', '6018'),
(30903441917118, 'Diners Club International', 'Diners Club', 'Beverly Hahn', '42005', '43466', '15', '507', '418'),
(6584380106835630, 'Discover', 'Discover', 'Kelley D Lemaster', '40787', '45901', '1', '259', '4000'),
(3576881014028590, 'Japan Credit Bureau', 'JCB', 'Susan Mathis', '42644', '49949', '22', '649', '9777'),
(346608584812468, 'American Express', 'American Express', 'Stephan Davidson', '39845', '43497', '13', '4194', '2254'),
(3572422147757770, 'Japan Credit Bureau', 'JCB', 'Tom A Buck', '43040', '44866', '13', '666', '7277'),
(347292409763765, 'American Express', 'American Express', 'Mervin Luong', '40087', '43739', '14', '7354', '9217'),
(36723933519295, 'Diners Club International', 'Diners Club', 'Jeff Burke', '42856', '50161', '25', '549', '9246'),
(5120603793039260, 'Master Card', 'Capital One', 'Cornell Gilchrist', '39326', '45170', '2', '198', '986'),
(346301706794216, 'American Express', 'American Express', 'Jennifer F Macdonald', '42826', '47939', '5', '2380', '2159'),
(5322114864121230, 'Master Card', 'Bank of America', 'Tad B Currie', '43009', '48122', '1', '429', '3842'),
(6011088252858510, 'Discover', 'Discover', 'Warren X Jefferson', '41334', '48639', '10', '636', '62'),
(4469448777611840, 'Visa', 'Chase', 'Kendall W Burt', '40725', '42917', '13', '227', '6969'),
(4292813674044260, 'Visa', 'First National', 'Danny K Hurst', '40787', '43709', '3', '154', '1419'),
(347191568373426, 'American Express', 'U.S. Bancorp', 'Marion Osborn', '43070', '47818', '13', '7771', '6933'),
(5344838004914170, 'Master Card', 'Chase', 'Ronald P Washington', '40603', '44256', '24', '243', '674'),
(342308964413300, 'American Express', 'American Express', 'Candi Harwell', '40544', '45658', '3', '9190', '7978'),
(3568482640857720, 'Japan Credit Bureau', 'JCB', 'Joann V Perez', '40695', '47270', '27', '944', '2360'),
(3531291021007500, 'Japan Credit Bureau', 'JCB', 'Milton Y Cecil', '42675', '49249', '17', '675', '4707'),
(4863946455560900, 'Visa', 'PNC', 'Ronnie Z Whitehead', '39783', '42705', '14', '585', '8058'),
(30917417939617, 'Diners Club International', 'Diners Club', 'Chester Q Tyler', '41000', '42461', '8', '402', '6210'),
(6564565964363320, 'Discover', 'Discover', 'Suzanne A Montgomery', '42675', '49980', '12', '156', '9014'),
(30916265558750, 'Diners Club International', 'Diners Club', 'Dwayne Cotter', '39448', '44927', '18', '334', '3194'),
(372853005969656, 'American Express', 'American Express', 'Shane I Kent', '40391', '47331', '16', '6523', '9746'),
(6477424458495710, 'Discover', 'Discover', 'Marcelene V Benner', '39722', '46661', '17', '812', '2193'),
(6011910123372860, 'Discover', 'Discover', 'Beverly F Villarreal', '40513', '45261', '24', '497', '422'),
(6536907606434840, 'Discover', 'Discover', 'Aleta A Abreu', '42064', '44256', '9', '893', '3397'),
(341302274436821, 'American Express', 'U.S. Bancorp', 'Lloyd P Fisher', '39934', '45047', '19', '9332', '8358'),
(30453388413861, 'Diners Club International', 'Diners Club', 'Lonny Z Hatchett', '41852', '44044', '2', '696', '1192'),
(5463820298194810, 'Master Card', 'Chase', 'Tiffany Adkins', '42583', '46966', '19', '968', '1416'),
(5255200144930690, 'Master Card', 'Chase', 'Frances P Youngblood', '41791', '44348', '18', '792', '8944'),
(5178821574147860, 'Master Card', 'Bank of America', 'Francis G Pennington', '42614', '49919', '21', '672', '8635'),
(3542550164101440, 'Japan Credit Bureau', 'JCB', 'Chery Monroe', '41548', '48853', '4', '491', '2113'),
(30966559031139, 'Diners Club International', 'Diners Club', 'Michelle K Whitaker', '39783', '42705', '16', '237', '5900'),
(6011167115545680, 'Discover', 'Discover', 'Alfred Madison', '42675', '44136', '13', '133', '6246'),
(36263927720252, 'Diners Club International', 'Diners Club', 'Debbie P Snider', '39142', '42430', '23', '628', '6965'),
(375791523445634, 'American Express', 'American Express', 'Sophia Aguilar', '39845', '46419', '13', '2013', '8913'),
(3540497197351890, 'Japan Credit Bureau', 'JCB', 'Katie Sims', '42948', '46235', '8', '542', '2632'),
(5375997172030210, 'Master Card', 'Chase', 'Georgine H Fiore', '39873', '46813', '23', '395', '7155'),
(6011117060576910, 'Discover', 'Discover', 'Wesley W Gaines', '39904', '40269', '19', '214', '3420'),
(4313082244282940, 'Visa', 'Citibank', 'Sharda Ault', '39417', '42339', '7', '124', '4502'),
(4337542227627160, 'Visa', 'Chase', 'Stephen M Davidson', '42186', '48396', '8', '404', '3506'),
(6011259276981150, 'Discover', 'Discover', 'Alexa U Amundson', '39448', '45292', '5', '133', '4118'),
(4286272672753100, 'Visa', 'Citibank', 'Mike Z Swanson', '42795', '49735', '24', '155', '6284'),
(3578194303794650, 'Japan Credit Bureau', 'JCB', 'Adell Riggs', '40391', '47331', '11', '495', '7151'),
(4335036707882010, 'Visa', 'GE Capital', 'Rosa Y Moss', '42552', '48030', '4', '24', '4329'),
(30957750815461, 'Diners Club International', 'Diners Club', 'Lou Q Amundson', '41671', '47150', '25', '283', '7833'),
(30388333482860, 'Diners Club International', 'Diners Club', 'Thomas R Rowland', '41091', '41456', '26', '951', '9086'),
(4973805378438620, 'Visa', 'Chase', 'Graham Redding', '41395', '47969', '19', '269', '9402'),
(371895314665930, 'American Express', 'U.S. Bancorp', 'Marilyn W Schneider', '39661', '44044', '23', '1672', '8107'),
(6011839305694830, 'Discover', 'Discover', 'Isabella Robles', '39326', '43344', '6', '402', '7408'),
(5343839624586600, 'Master Card', 'Bank of America', 'Frank Brown', '40391', '44044', '2', '705', '130'),
(378684493672385, 'American Express', 'U.S. Bancorp', 'Tristan U Shank', '41426', '45809', '8', '7676', '9466'),
(5155980493793030, 'Master Card', 'Chase', 'Eugene W Peters', '39508', '40603', '9', '429', '826'),
(3571486291437050, 'Japan Credit Bureau', 'JCB', 'Jon T Hoyt', '40360', '46569', '7', '795', '3014'),
(346338206571686, 'American Express', 'Bank of America', 'Dolores L Pierce', '41365', '46844', '20', '7245', '4526'),
(30921583711487, 'Diners Club International', 'Diners Club', 'Zelda Beard', '42370', '45658', '8', '612', '5139'),
(3552908747595950, 'Japan Credit Bureau', 'JCB', 'Stanley X Puckett', '42401', '44958', '15', '212', '9729'),
(378720528234344, 'American Express', 'American Express', 'Chi B Clemons', '42705', '48183', '8', '1031', '1043'),
(3578564172450170, 'Japan Credit Bureau', 'JCB', 'Francisco A Cobb', '43070', '44531', '21', '1', '8722'),
(4463863196974180, 'Visa', 'Chase', 'Dina H Coe', '39083', '44562', '22', '704', '199'),
(379038903123126, 'American Express', 'American Express', 'Christine A Kim', '41852', '45505', '12', '8555', '4102'),
(6011083442530140, 'Discover', 'Discover', 'Irena Y Benitez', '42339', '43435', '15', '89', '1765'),
(30018927763520, 'Diners Club International', 'Diners Club', 'Mary B Salazar', '41456', '43282', '16', '423', '7536'),
(370581674607206, 'American Express', 'American Express', 'Lucien C Elam', '40544', '42736', '3', '6449', '3319'),
(30174145339708, 'Diners Club International', 'Diners Club', 'Jesus G Mosley', '41487', '46600', '13', '158', '8552'),
(344982324889975, 'American Express', 'U.S. Bancorp', 'Ninfa J Carl', '40817', '41183', '19', '7598', '9481'),
(3557118525837620, 'Japan Credit Bureau', 'JCB', 'April W Kane', '41913', '43374', '19', '918', '3686'),
(345372455132271, 'American Express', 'American Express', 'Hilda P Hughey', '39965', '43617', '5', '217', '9471'),
(6506681952194590, 'Discover', 'Discover', 'Bertha Gutierrez', '40513', '47088', '4', '925', '8791'),
(378044228608545, 'American Express', 'American Express', 'Flora G Wilde', '40513', '43800', '6', '8516', '5184'),
(30434997731935, 'Diners Club International', 'Diners Club', 'Lillian J Strong', '40664', '45413', '16', '974', '9822'),
(30930286266780, 'Diners Club International', 'Diners Club', 'Sandy Spurgeon', '41548', '46661', '7', '475', '3831'),
(4485487427182370, 'Visa', 'Cabela’s WFB', 'Martha Crane', '41609', '45261', '28', '324', '9913'),
(30038499424954, 'Diners Club International', 'Diners Club', 'Debbi K Nutt', '39083', '46023', '18', '535', '1711'),
(5132110273971360, 'Master Card', 'Citibank', 'Elsie K Dyer', '41334', '43160', '15', '775', '3055'),
(30927023456005, 'Diners Club International', 'Diners Club', 'Byron V Molina', '40452', '45200', '25', '590', '8186'),
(378873168138091, 'American Express', 'American Express', 'Lewis K Navarro', '39600', '45078', '19', '3351', '7182'),
(30094213643742, 'Diners Club International', 'Diners Club', 'Aja E Reinhart', '39904', '41730', '1', '484', '1402'),
(345482262918414, 'American Express', 'American Express', 'Dustin U Hood', '43009', '45931', '3', '1547', '1993'),
(3581402231491200, 'Japan Credit Bureau', 'JCB', 'Rico Lopes', '40725', '43282', '3', '512', '9842'),
(3566315949871050, 'Japan Credit Bureau', 'JCB', 'Carl Nixon', '39264', '41091', '11', '5', '9305'),
(3567055375294890, 'Japan Credit Bureau', 'JCB', 'Barrie T Holm', '42979', '44805', '27', '730', '6254'),
(4554431729656520, 'Visa', 'Bank of America', 'Cheryl H Abbott', '39173', '42095', '14', '418', '6267'),
(3550776732304500, 'Japan Credit Bureau', 'JCB', 'Felipe L Fulcher', '42917', '43647', '26', '203', '3028'),
(30332071354584, 'Diners Club International', 'Diners Club', 'Chris Z Spears', '42887', '48366', '13', '796', '4222'),
(30973055647772, 'Diners Club International', 'Diners Club', 'Classie S Ledesma', '41334', '41699', '13', '525', '580'),
(3534528667209020, 'Japan Credit Bureau', 'JCB', 'Nathan F Lindsay', '39753', '45597', '8', '418', '8566'),
(5134633200135470, 'Master Card', 'Chase', 'Lynn T Derrick', '42217', '48792', '28', '896', '2804'),
(343380242034314, 'American Express', 'American Express', 'Hector Boone', '43009', '49583', '7', '9849', '7378'),
(343661106274991, 'American Express', 'American Express', 'Jolie Roche', '42552', '46569', '12', '6031', '6162'),
(4070320407737190, 'Visa', 'Chase', 'Roberto Lawrence', '41883', '42614', '17', '742', '9166'),
(5394023119777340, 'Master Card', 'Capital One', 'Kathaleen U Beach', '40422', '45170', '15', '377', '1464'),
(6011635040233120, 'Discover', 'Discover', 'Julie I Stephens', '39630', '44743', '9', '133', '2513'),
(6011580801966590, 'Discover', 'Discover', 'Rodney M Baumgardner', '40787', '47727', '6', '809', '9910'),
(6011784352526060, 'Discover', 'Discover', 'Bobby K Figueroa', '41883', '45901', '8', '136', '2963'),
(346729430581311, 'American Express', 'American Express', 'Marcela H Randall', '39264', '42552', '17', '5659', '7447'),
(5307159557874710, 'Master Card', 'GE Capital', 'Russell Y Ferguson', '39814', '46753', '25', '782', '4937'),
(3569352864976180, 'Japan Credit Bureau', 'JCB', 'Wally K Hyde', '40269', '46113', '11', '321', '4017'),
(5304553266412900, 'Master Card', 'Chase', 'Marcus M Adams', '42705', '44166', '12', '472', '9004'),
(4261078980585220, 'Visa', 'First National', 'Lynn X Snell', '42856', '43952', '15', '368', '6740'),
(5491144129180810, 'Master Card', 'USAA', 'Rita H Gaines', '41426', '48000', '9', '450', '7315'),
(5320258700390890, 'Master Card', 'Bank of America', 'Refugio Y Dewey', '41061', '41791', '23', '55', '8616'),
(4184532246624170, 'Visa', 'U.S. Bancorp', 'Eugene Rivas', '40238', '42430', '4', '243', '2515'),
(4718949222189420, 'Visa', 'GE Capital', 'Lupe N Dowdy', '42675', '43040', '16', '851', '6785'),
(4197737149602690, 'Visa', 'GE Capital', 'Amanda Y Burke', '40695', '43252', '4', '235', '7945'),
(372124158523090, 'American Express', 'U.S. Bancorp', 'Josephine Y Baez', '39356', '45200', '3', '5958', '6934'),
(372186276241376, 'American Express', 'American Express', 'Troy Howard', '42491', '49796', '15', '4764', '9438'),
(5133940187254950, 'Master Card', 'U.S. Bancorp', 'Huong J Doughty', '39448', '40909', '25', '553', '2885'),
(342709576837721, 'American Express', 'American Express', 'Vincent N Mosley', '42705', '47818', '1', '3551', '1542'),
(3533327882583490, 'Japan Credit Bureau', 'JCB', 'Slyvia P Ragan', '42339', '44896', '2', '663', '2952'),
(30500329232501, 'Diners Club International', 'Diners Club', 'Christina W Miles', '42614', '49919', '28', '219', '3456'),
(4754938970768710, 'Visa', 'Chase', 'Hope E Westmoreland', '39479', '41671', '22', '660', '7111'),
(6011051708036820, 'Discover', 'Discover', 'Theodore H Allen', '39479', '44593', '13', '249', '2518'),
(346815368238808, 'American Express', 'Bank of America', 'Barbera Y Isaac', '39326', '44075', '14', '3295', '1558'),
(349793350491932, 'American Express', 'USAA', 'Chris O Vincent', '41640', '48945', '22', '256', '5531'),
(30436556463545, 'Diners Club International', 'Diners Club', 'Kizzie U Cullen', '41153', '45536', '6', '705', '9708'),
