insert into creitcardsexcel values('Card Type Full Name', 'Issuing Bank', Card Number, 'Card Holder's Name', CVV/CVV2, Issue Date, Expiry Date, Billing Date, Card PIN, Credit Limit),
('Diners Club International', 'Diners Club', 30231988222407, 'Raylene Z Boyer', 531, 40330, 44713, 4, 6192, 79000),
('American Express', 'American Express', 340157908654228, 'Wendy W Hayden', 9255, 39295, 40391, 28, 2640, 197300),
('Diners Club International', 'Diners Club', 30096934321797, 'Jeremiah E Brinkley', 919, 42917, 48030, 8, 9102, 23300),
('American Express', 'American Express', 374616542205811, 'Alan W Wilder', 1776, 40118, 41579, 4, 9169, 181300),
('Diners Club International', 'Diners Club', 30450093019496, 'Yan K Kunz', 818, 42125, 49430, 28, 9984, 75000),
('Visa', 'PNC', 4992573212985040, 'Jacob X Humphrey', 436, 39753, 45597, 7, 6363, 133800),
('Visa', 'Chase', 4344596663558220, 'Eilene T Curtin', 288, 41153, 44075, 8, 5132, 107700),
('Visa', 'First National', 4377091843383870, 'Aaron P Mcclain', 273, 41791, 45078, 8, 1979, 103700),
('Diners Club International', 'Diners Club', 30064555124346, 'Lonny Q Hooks', 58, 43009, 48488, 16, 1352, 17900),
('Discover', 'Discover', 6011275780750530, 'Adam Morrow', 230, 42767, 48611, 22, 5368, 82100),
('Japan Credit Bureau', 'JCB', 3579590271370970, 'Brendon R Mercier', 871, 41214, 45597, 1, 1296, 29700),
('Diners Club International', 'Diners Club', 30903698918330, 'Joanne Mccullough', 995, 39692, 46997, 1, 6460, 134200),
('Japan Credit Bureau', 'JCB', 3537775104285200, 'Hubert O Bartholomew', 180, 39753, 41579, 9, 1497, 14500),
('American Express', 'American Express', 379937223519790, 'Martin Molina', 2639, 40087, 46661, 17, 6673, 65500),
('Japan Credit Bureau', 'JCB', 3561626807219920, 'Katheryn Wolf', 148, 42522, 43617, 21, 4659, 16300),
('Visa', 'Chase', 4421311527786580, 'Crystal W Clark', 114, 40787, 47362, 23, 7038, 30900),
('Japan Credit Bureau', 'JCB', 3569836739905170, 'Carroll B James', 931, 42064, 45352, 20, 264, 41700),
('Master Card', 'Citibank', 5325373502424960, 'Teresa Glenn', 742, 41640, 45292, 13, 1370, 118800),
('Diners Club International', 'Diners Club', 30349539953617, 'Tomas O Guenther', 673, 39173, 39539, 28, 70, 70500),
('Master Card', 'Chase', 5327929019317970, 'Raymond O Page', 484, 41426, 45444, 12, 4790, 34500),
('Visa', 'Citibank', 4247446628796320, 'Yesenia Y Teague', 430, 39722, 40452, 23, 7546, 150300),
('Diners Club International', 'Diners Club', 30518364878608, 'Darrell W Harrison', 931, 42309, 43770, 20, 406, 53100),
('Master Card', 'Bank of America', 5361374913450100, 'Concepcion Scroggins', 106, 42583, 45870, 3, 2819, 105000),
('American Express', 'American Express', 347009468783579, 'Brandon L Bishop', 5526, 39114, 42767, 28, 9476, 86100),
('Visa', 'Barclays', 4217468379892460, 'Booker U Sinclair', 523, 42917, 49126, 22, 7191, 148000),
('American Express', 'USAA', 349587852150552, 'Edward J Hall', 4140, 42856, 48700, 26, 2860, 29700),
('Discover', 'Discover', 6011645937175230, 'Darline Craddock', 770, 39356, 39722, 4, 3789, 123100),
('Visa', 'Chase', 4432485164334030, 'Tiffany Wiggins', 856, 42370, 48580, 26, 4068, 45000),
('Visa', 'Chase', 4586168671701210, 'Betty U Mckeown', 944, 42614, 43344, 2, 3409, 89200),
('Master Card', 'Barclays', 5225997501134580, 'Joyce E Mckenzie', 586, 39630, 44013, 8, 6729, 40100),
('Visa', 'PNC', 4527448743586630, 'Vern X Ramsey', 100, 42675, 43405, 22, 7117, 67600),
('Discover', 'Discover', 6223322241015980, 'Evelyn P Lawrence', 532, 42156, 49096, 3, 1781, 142400),
('Visa', 'Chase', 4572466979667090, 'Evelyn Ligon', 450, 42461, 46478, 11, 9676, 52100),
('Diners Club International', 'Diners Club', 30402851447997, 'Shawn Mann', 718, 41122, 47696, 23, 2205, 193800),
('American Express', 'American Express', 373894406553268, 'Melva N Mota', 3984, 42736, 48580, 27, 348, 96600),
('Japan Credit Bureau', 'JCB', 3547250924875030, 'Juanita R Turner', 933, 42767, 49706, 17, 5607, 153100),
('Diners Club International', 'Diners Club', 30968657957629, 'Dannie Martinson', 770, 41122, 43313, 9, 145, 154000),
('Diners Club International', 'Diners Club', 38322820662363, 'Janet L Freeman', 339, 42491, 46874, 3, 7462, 103900),
('Japan Credit Bureau', 'JCB', 3564732238658450, 'Hobert P Todd', 140, 39600, 39965, 27, 7090, 147400),
('Discover', 'Discover', 6452997572318880, 'Nicholas Y Juarez', 413, 39203, 44317, 5, 343, 135200),
('Master Card', 'Bank of America', 5144404300879380, 'Anton Z Godwin', 359, 40695, 42156, 28, 3546, 42700),
('American Express', 'American Express', 347487869477530, 'Bernard Frazier', 8231, 41456, 44013, 5, 6930, 30300),
('Discover', 'Discover', 6011337631415180, 'Loida Z Halstead', 690, 40909, 43831, 25, 2174, 117000),
('Diners Club International', 'Diners Club', 30400251787491, 'Vernon U Sheppard', 92, 40544, 45658, 14, 7126, 76100),
('American Express', 'U.S. Bancorp', 341465352659968, 'Tashia F Steinberg', 4462, 43040, 45231, 28, 9596, 147600),
('Master Card', 'Citibank', 5212586127031070, 'Paula S Sosa', 864, 40544, 45658, 15, 2083, 170300),
('Visa', 'Cabela’s WFB', 4849636990986250, 'Zenia Clegg', 560, 39142, 46082, 2, 9305, 91600),
('Discover', 'Discover', 6011038820512990, 'Matthew A Madden', 674, 42583, 47696, 10, 460, 157400),
('Diners Club International', 'Diners Club', 30528509169771, 'Rheba L Castro', 71, 41944, 47788, 15, 7905, 126000),
('Master Card', 'Bank of America', 5118023019872920, 'Rebecca A Sweet', 333, 41456, 45108, 22, 4716, 185500),
('Master Card', 'Barclays', 5195293666286350, 'Nilda A Kinard', 415, 40634, 42095, 27, 1225, 51800),
('Diners Club International', 'Diners Club', 30080548401088, 'Glen S Mccarty', 954, 42795, 50100, 4, 7752, 116200),
('Discover', 'Discover', 6011933714512920, 'Len O Blanks', 191, 40544, 47484, 2, 9383, 18500),
('Discover', 'Discover', 6011259381673940, 'Jessica O Whitley', 346, 40725, 46935, 28, 2726, 108700),
('American Express', 'U.S. Bancorp', 375076508489157, 'Wes Branson', 239, 41214, 43405, 8, 2361, 197000),
('Master Card', 'Citibank', 5483159393314090, 'Yolanda E Rutledge', 773, 41640, 46753, 17, 1337, 174300),
('Master Card', 'Bank of America', 5457307145215270, 'Catheryn Cain', 706, 41852, 44409, 21, 143, 121400),
('American Express', 'American Express', 370281526606205, 'Oscar Q Rodgers', 2747, 41306, 47515, 23, 8399, 155900),
('American Express', 'Bank of America', 342382012695002, 'Valentine Humes', 4786, 42552, 45839, 6, 3990, 175500),
('Diners Club International', 'Diners Club', 30584257466885, 'Miguel P Justice', 9, 40664, 43586, 26, 3017, 115300),
('Master Card', 'Capital One', 5282295900176430, 'Shanna U Hsu', 126, 42767, 47880, 20, 7910, 145900),
('Discover', 'Discover', 6226428431376830, 'Juanita N Watts', 894, 41883, 42614, 13, 9182, 17200),
('Visa', 'Bank of America', 4961134529187300, 'Nana J Wilbur', 871, 41518, 44440, 2, 1887, 74200),
('Japan Credit Bureau', 'JCB', 3584101278506330, 'Sandra F Berry', 323, 40664, 47604, 27, 1084, 118400),
('Master Card', 'Citibank', 5442730356521020, 'Napoleon C Stephen', 53, 40360, 42917, 24, 927, 136300),
('Discover', 'Discover', 6011245276113560, 'Shirley Melendez', 579, 41395, 47239, 7, 972, 94700),
('Japan Credit Bureau', 'JCB', 3587129701891610, 'Bryce English', 492, 42156, 46905, 3, 6489, 124000),
('Japan Credit Bureau', 'JCB', 3566002777243450, 'Carmen C Holden', 919, 42125, 46508, 22, 9859, 120400),
('Japan Credit Bureau', 'JCB', 3540755203328200, 'Rosy X Kelly', 284, 42156, 45078, 20, 9361, 104100),
('Discover', 'Discover', 6221723863405530, 'Roger F Gallegos', 288, 42309, 48884, 3, 3895, 127600),
('Diners Club International', 'Diners Club', 39509971824284, 'Jestine D Hannan', 702, 39356, 42644, 18, 5545, 73400),
('American Express', 'American Express', 342716933708560, 'Amanda Nolan', 2551, 40664, 43952, 9, 1717, 174700),
('Diners Club International', 'Diners Club', 30435533484897, 'Minna X Booth', 571, 39479, 40575, 25, 9209, 90900),
('Japan Credit Bureau', 'JCB', 3585375013017230, 'Melissa Bell', 804, 40057, 46631, 13, 585, 145900),
('Master Card', 'Capital One', 5464787635749580, 'Latashia Mull', 409, 41456, 43282, 8, 9275, 130100),
('Master Card', 'Citibank', 5186330413599650, 'Patrick Middleton', 676, 40422, 46997, 16, 1623, 98000),
('American Express', 'American Express', 348146374924126, 'Dwain U Doss', 9990, 42552, 45839, 2, 8703, 88000),
('Diners Club International', 'Diners Club', 30259821334097, 'Wayne R Dunlap', 219, 42461, 49035, 14, 6969, 140100),
('Discover', 'Discover', 6011835807565910, 'Claudia Z Thao', 27, 42339, 44896, 16, 8027, 48900),
('Master Card', 'USAA', 5162651713579490, 'Pamela Clayton', 146, 40878, 45992, 19, 4159, 115200),
('Diners Club International', 'Diners Club', 30545875252734, 'Elvia Fain', 337, 40634, 45017, 8, 7219, 193600),
('Diners Club International', 'Diners Club', 30393380441298, 'Eugene H Steele', 452, 40118, 43770, 15, 5544, 159700),
('Japan Credit Bureau', 'JCB', 3567878204237830, 'Fabian V Flanigan', 46, 40695, 47270, 21, 2431, 168300),
('Diners Club International', 'Diners Club', 30237077730366, 'Ronald P Ware', 911, 41487, 47331, 16, 3060, 29900),
('Discover', 'Discover', 6011456851188220, 'Dean J Platt', 401, 41061, 44348, 9, 6682, 57900),
('Diners Club International', 'Diners Club', 30573059353565, 'Grace J Rosa', 482, 41395, 42125, 13, 1163, 78400),
('American Express', 'American Express', 343068404991856, 'Estrella P Coppola', 3285, 40330, 47635, 28, 6056, 24000),
('Discover', 'Discover', 6011699010139170, 'Linda G Sweet', 86, 42309, 42675, 20, 3240, 154700),
('Japan Credit Bureau', 'JCB', 3582687872593330, 'Yevette O Weis', 781, 40330, 44348, 11, 5470, 85600),
('Diners Club International', 'Diners Club', 30375830035093, 'Bradley C Moss', 966, 42401, 44228, 27, 9311, 167300),
('Discover', 'Discover', 6011940189578570, 'Margaretta S Huffman', 675, 39295, 40391, 17, 570, 49800),
('Japan Credit Bureau', 'JCB', 3543021817260220, 'Aaron Harvey', 501, 39814, 43101, 2, 5327, 197400),
('American Express', 'American Express', 348348556471500, 'Jerold L Steiner', 8554, 42491, 48700, 5, 4826, 24900),
('Diners Club International', 'Diners Club', 30563241137653, 'Wesley G Hensley', 884, 40026, 44409, 9, 6891, 195100),
('Discover', 'Discover', 6011769346193710, 'Orval X Fitzgerald', 370, 40026, 46600, 16, 3388, 96500),
('American Express', 'Bank of America', 377533393389528, 'Tyler Lang', 374, 39083, 41275, 11, 2694, 95000),
('Diners Club International', 'Diners Club', 30159847410675, 'Simone W Yount', 613, 41974, 43800, 27, 7757, 76000),
('Discover', 'Discover', 6011677189786480, 'Andrew Stewart', 596, 41275, 45292, 1, 5503, 96100),
('Visa', 'USAA', 4107086801385770, 'Kirk V Ledesma', 38, 42856, 49065, 13, 7838, 87600),
('Japan Credit Bureau', 'JCB', 3553101707226550, 'Alice S Mcneil', 357, 39417, 39783, 21, 988, 136500),
('American Express', 'U.S. Bancorp', 341297678051889, 'Lemuel Sallee', 8963, 39448, 40179, 2, 445, 145200),
('Diners Club International', 'Diners Club', 36698956366164, 'Cathy Schultz', 728, 41609, 48549, 12, 7225, 116000),
('American Express', 'American Express', 349865666658535, 'Valentine F Mcginnis', 4104, 39142, 43891, 14, 5809, 153300),
('Master Card', 'Citibank', 5483849560427330, 'Rachel T Benson', 102, 40969, 48274, 8, 164, 180600),
('Visa', 'Chase', 4028514203859570, 'Angelika Ritter', 412, 40299, 47239, 17, 6154, 97200),
('Discover', 'Discover', 6011352552085810, 'Judith B Pitts', 139, 39630, 40360, 12, 2895, 54500),
('Visa', 'Chase', 4221491731438800, 'Sidney Z Carney', 270, 39569, 44682, 25, 2912, 51200),
('Diners Club International', 'Diners Club', 30147886920209, 'Valerie K Morin', 162, 39692, 43709, 8, 9013, 63400),
('Master Card', 'Bank of America', 5240483351468170, 'Mathilda Q Gayle', 657, 40940, 44593, 13, 1631, 55500),
('American Express', 'American Express', 341261332403795, 'Steven O Kline', 7724, 39783, 45627, 22, 2892, 76000),
('American Express', 'Bank of America', 378778229898270, 'Mohammed F Bunker', 6323, 43040, 46327, 10, 6136, 155400),
('American Express', 'American Express', 370316447402837, 'Lynn T Mcguire', 308, 42156, 44348, 8, 2197, 52800),
('Diners Club International', 'Diners Club', 30524499921560, 'Petronila K Taylor', 839, 40179, 42005, 10, 6018, 179300),
('Diners Club International', 'Diners Club', 30903441917118, 'Beverly Hahn', 507, 42005, 43466, 15, 418, 47200),
('Discover', 'Discover', 6584380106835630, 'Kelley D Lemaster', 259, 40787, 45901, 1, 4000, 22000),
('Japan Credit Bureau', 'JCB', 3576881014028590, 'Susan Mathis', 649, 42644, 49949, 22, 9777, 19200),
('American Express', 'American Express', 346608584812468, 'Stephan Davidson', 4194, 39845, 43497, 13, 2254, 108200),
('Japan Credit Bureau', 'JCB', 3572422147757770, 'Tom A Buck', 666, 43040, 44866, 13, 7277, 63100),
('American Express', 'American Express', 347292409763765, 'Mervin Luong', 7354, 40087, 43739, 14, 9217, 43300),
('Diners Club International', 'Diners Club', 36723933519295, 'Jeff Burke', 549, 42856, 50161, 25, 9246, 175800),
('Master Card', 'Capital One', 5120603793039260, 'Cornell Gilchrist', 198, 39326, 45170, 2, 986, 165200),
('American Express', 'American Express', 346301706794216, 'Jennifer F Macdonald', 2380, 42826, 47939, 5, 2159, 69700),
('Master Card', 'Bank of America', 5322114864121230, 'Tad B Currie', 429, 43009, 48122, 1, 3842, 108300),
('Discover', 'Discover', 6011088252858510, 'Warren X Jefferson', 636, 41334, 48639, 10, 62, 154500),
('Visa', 'Chase', 4469448777611840, 'Kendall W Burt', 227, 40725, 42917, 13, 6969, 135900),
('Visa', 'First National', 4292813674044260, 'Danny K Hurst', 154, 40787, 43709, 3, 1419, 104300),
('American Express', 'U.S. Bancorp', 347191568373426, 'Marion Osborn', 7771, 43070, 47818, 13, 6933, 21500),
('Master Card', 'Chase', 5344838004914170, 'Ronald P Washington', 243, 40603, 44256, 24, 674, 30700),
('American Express', 'American Express', 342308964413300, 'Candi Harwell', 9190, 40544, 45658, 3, 7978, 186300),
('Japan Credit Bureau', 'JCB', 3568482640857720, 'Joann V Perez', 944, 40695, 47270, 27, 2360, 13800),
('Japan Credit Bureau', 'JCB', 3531291021007500, 'Milton Y Cecil', 675, 42675, 49249, 17, 4707, 159600),
('Visa', 'PNC', 4863946455560900, 'Ronnie Z Whitehead', 585, 39783, 42705, 14, 8058, 64800),
('Diners Club International', 'Diners Club', 30917417939617, 'Chester Q Tyler', 402, 41000, 42461, 8, 6210, 117000),
('Discover', 'Discover', 6564565964363320, 'Suzanne A Montgomery', 156, 42675, 49980, 12, 9014, 170000),
('Diners Club International', 'Diners Club', 30916265558750, 'Dwayne Cotter', 334, 39448, 44927, 18, 3194, 83900),
('American Express', 'American Express', 372853005969656, 'Shane I Kent', 6523, 40391, 47331, 16, 9746, 111400),
('Discover', 'Discover', 6477424458495710, 'Marcelene V Benner', 812, 39722, 46661, 17, 2193, 186400),
('Discover', 'Discover', 6011910123372860, 'Beverly F Villarreal', 497, 40513, 45261, 24, 422, 142300),
('Discover', 'Discover', 6536907606434840, 'Aleta A Abreu', 893, 42064, 44256, 9, 3397, 52500),
('American Express', 'U.S. Bancorp', 341302274436821, 'Lloyd P Fisher', 9332, 39934, 45047, 19, 8358, 25700),
('Diners Club International', 'Diners Club', 30453388413861, 'Lonny Z Hatchett', 696, 41852, 44044, 2, 1192, 79900),
('Master Card', 'Chase', 5463820298194810, 'Tiffany Adkins', 968, 42583, 46966, 19, 1416, 78900),
('Master Card', 'Chase', 5255200144930690, 'Frances P Youngblood', 792, 41791, 44348, 18, 8944, 108300),
('Master Card', 'Bank of America', 5178821574147860, 'Francis G Pennington', 672, 42614, 49919, 21, 8635, 118700),
('Japan Credit Bureau', 'JCB', 3542550164101440, 'Chery Monroe', 491, 41548, 48853, 4, 2113, 17600),
('Diners Club International', 'Diners Club', 30966559031139, 'Michelle K Whitaker', 237, 39783, 42705, 16, 5900, 44100),
('Discover', 'Discover', 6011167115545680, 'Alfred Madison', 133, 42675, 44136, 13, 6246, 165400),
('Diners Club International', 'Diners Club', 36263927720252, 'Debbie P Snider', 628, 39142, 42430, 23, 6965, 137600),
('American Express', 'American Express', 375791523445634, 'Sophia Aguilar', 2013, 39845, 46419, 13, 8913, 199000),
('Japan Credit Bureau', 'JCB', 3540497197351890, 'Katie Sims', 542, 42948, 46235, 8, 2632, 164000),
('Master Card', 'Chase', 5375997172030210, 'Georgine H Fiore', 395, 39873, 46813, 23, 7155, 142100),
('Discover', 'Discover', 6011117060576910, 'Wesley W Gaines', 214, 39904, 40269, 19, 3420, 196000),
('Visa', 'Citibank', 4313082244282940, 'Sharda Ault', 124, 39417, 42339, 7, 4502, 105000),
('Visa', 'Chase', 4337542227627160, 'Stephen M Davidson', 404, 42186, 48396, 8, 3506, 59200),
('Discover', 'Discover', 6011259276981150, 'Alexa U Amundson', 133, 39448, 45292, 5, 4118, 143000),
('Visa', 'Citibank', 4286272672753100, 'Mike Z Swanson', 155, 42795, 49735, 24, 6284, 40300),
('Japan Credit Bureau', 'JCB', 3578194303794650, 'Adell Riggs', 495, 40391, 47331, 11, 7151, 128600),
('Visa', 'GE Capital', 4335036707882010, 'Rosa Y Moss', 24, 42552, 48030, 4, 4329, 36100),
('Diners Club International', 'Diners Club', 30957750815461, 'Lou Q Amundson', 283, 41671, 47150, 25, 7833, 116600),
('Diners Club International', 'Diners Club', 30388333482860, 'Thomas R Rowland', 951, 41091, 41456, 26, 9086, 73900),
('Visa', 'Chase', 4973805378438620, 'Graham Redding', 269, 41395, 47969, 19, 9402, 21400),
('American Express', 'U.S. Bancorp', 371895314665930, 'Marilyn W Schneider', 1672, 39661, 44044, 23, 8107, 43800),
('Discover', 'Discover', 6011839305694830, 'Isabella Robles', 402, 39326, 43344, 6, 7408, 132200),
('Master Card', 'Bank of America', 5343839624586600, 'Frank Brown', 705, 40391, 44044, 2, 130, 149000),
('American Express', 'U.S. Bancorp', 378684493672385, 'Tristan U Shank', 7676, 41426, 45809, 8, 9466, 49000),
('Master Card', 'Chase', 5155980493793030, 'Eugene W Peters', 429, 39508, 40603, 9, 826, 10300),
('Japan Credit Bureau', 'JCB', 3571486291437050, 'Jon T Hoyt', 795, 40360, 46569, 7, 3014, 132600),
('American Express', 'Bank of America', 346338206571686, 'Dolores L Pierce', 7245, 41365, 46844, 20, 4526, 115600),
('Diners Club International', 'Diners Club', 30921583711487, 'Zelda Beard', 612, 42370, 45658, 8, 5139, 103000),
('Japan Credit Bureau', 'JCB', 3552908747595950, 'Stanley X Puckett', 212, 42401, 44958, 15, 9729, 35100),
('American Express', 'American Express', 378720528234344, 'Chi B Clemons', 1031, 42705, 48183, 8, 1043, 116200),
('Japan Credit Bureau', 'JCB', 3578564172450170, 'Francisco A Cobb', 1, 43070, 44531, 21, 8722, 38400),
('Visa', 'Chase', 4463863196974180, 'Dina H Coe', 704, 39083, 44562, 22, 199, 190800),
('American Express', 'American Express', 379038903123126, 'Christine A Kim', 8555, 41852, 45505, 12, 4102, 59800),
('Discover', 'Discover', 6011083442530140, 'Irena Y Benitez', 89, 42339, 43435, 15, 1765, 174900),
('Diners Club International', 'Diners Club', 30018927763520, 'Mary B Salazar', 423, 41456, 43282, 16, 7536, 81200),
('American Express', 'American Express', 370581674607206, 'Lucien C Elam', 6449, 40544, 42736, 3, 3319, 23300),
('Diners Club International', 'Diners Club', 30174145339708, 'Jesus G Mosley', 158, 41487, 46600, 13, 8552, 156300),
('American Express', 'U.S. Bancorp', 344982324889975, 'Ninfa J Carl', 7598, 40817, 41183, 19, 9481, 10200),
('Japan Credit Bureau', 'JCB', 3557118525837620, 'April W Kane', 918, 41913, 43374, 19, 3686, 58300),
('American Express', 'American Express', 345372455132271, 'Hilda P Hughey', 217, 39965, 43617, 5, 9471, 169800),
('Discover', 'Discover', 6506681952194590, 'Bertha Gutierrez', 925, 40513, 47088, 4, 8791, 101700),
('American Express', 'American Express', 378044228608545, 'Flora G Wilde', 8516, 40513, 43800, 6, 5184, 17500),
('Diners Club International', 'Diners Club', 30434997731935, 'Lillian J Strong', 974, 40664, 45413, 16, 9822, 173700),
('Diners Club International', 'Diners Club', 30930286266780, 'Sandy Spurgeon', 475, 41548, 46661, 7, 3831, 29600),
('Visa', 'Cabela’s WFB', 4485487427182370, 'Martha Crane', 324, 41609, 45261, 28, 9913, 141800),
('Diners Club International', 'Diners Club', 30038499424954, 'Debbi K Nutt', 535, 39083, 46023, 18, 1711, 136200),
('Master Card', 'Citibank', 5132110273971360, 'Elsie K Dyer', 775, 41334, 43160, 15, 3055, 98100),
('Diners Club International', 'Diners Club', 30927023456005, 'Byron V Molina', 590, 40452, 45200, 25, 8186, 32600),
('American Express', 'American Express', 378873168138091, 'Lewis K Navarro', 3351, 39600, 45078, 19, 7182, 91400),
('Diners Club International', 'Diners Club', 30094213643742, 'Aja E Reinhart', 484, 39904, 41730, 1, 1402, 78900),
('American Express', 'American Express', 345482262918414, 'Dustin U Hood', 1547, 43009, 45931, 3, 1993, 183000),
('Japan Credit Bureau', 'JCB', 3581402231491200, 'Rico Lopes', 512, 40725, 43282, 3, 9842, 86400),
('Japan Credit Bureau', 'JCB', 3566315949871050, 'Carl Nixon', 5, 39264, 41091, 11, 9305, 192200),
('Japan Credit Bureau', 'JCB', 3567055375294890, 'Barrie T Holm', 730, 42979, 44805, 27, 6254, 177500),
('Visa', 'Bank of America', 4554431729656520, 'Cheryl H Abbott', 418, 39173, 42095, 14, 6267, 62200),
('Japan Credit Bureau', 'JCB', 3550776732304500, 'Felipe L Fulcher', 203, 42917, 43647, 26, 3028, 161200),
('Diners Club International', 'Diners Club', 30332071354584, 'Chris Z Spears', 796, 42887, 48366, 13, 4222, 118100),
('Diners Club International', 'Diners Club', 30973055647772, 'Classie S Ledesma', 525, 41334, 41699, 13, 580, 186600),
('Japan Credit Bureau', 'JCB', 3534528667209020, 'Nathan F Lindsay', 418, 39753, 45597, 8, 8566, 151500),
('Master Card', 'Chase', 5134633200135470, 'Lynn T Derrick', 896, 42217, 48792, 28, 2804, 161800),
('American Express', 'American Express', 343380242034314, 'Hector Boone', 9849, 43009, 49583, 7, 7378, 118900),
('American Express', 'American Express', 343661106274991, 'Jolie Roche', 6031, 42552, 46569, 12, 6162, 34400),
('Visa', 'Chase', 4070320407737190, 'Roberto Lawrence', 742, 41883, 42614, 17, 9166, 154900),
('Master Card', 'Capital One', 5394023119777340, 'Kathaleen U Beach', 377, 40422, 45170, 15, 1464, 37800),
('Discover', 'Discover', 6011635040233120, 'Julie I Stephens', 133, 39630, 44743, 9, 2513, 119700),
('Discover', 'Discover', 6011580801966590, 'Rodney M Baumgardner', 809, 40787, 47727, 6, 9910, 52200),
('Discover', 'Discover', 6011784352526060, 'Bobby K Figueroa', 136, 41883, 45901, 8, 2963, 88900),
('American Express', 'American Express', 346729430581311, 'Marcela H Randall', 5659, 39264, 42552, 17, 7447, 131300),
('Master Card', 'GE Capital', 5307159557874710, 'Russell Y Ferguson', 782, 39814, 46753, 25, 4937, 199700),
('Japan Credit Bureau', 'JCB', 3569352864976180, 'Wally K Hyde', 321, 40269, 46113, 11, 4017, 109100),
('Master Card', 'Chase', 5304553266412900, 'Marcus M Adams', 472, 42705, 44166, 12, 9004, 24900),
('Visa', 'First National', 4261078980585220, 'Lynn X Snell', 368, 42856, 43952, 15, 6740, 50600),
('Master Card', 'USAA', 5491144129180810, 'Rita H Gaines', 450, 41426, 48000, 9, 7315, 167300),
('Master Card', 'Bank of America', 5320258700390890, 'Refugio Y Dewey', 55, 41061, 41791, 23, 8616, 126800),
('Visa', 'U.S. Bancorp', 4184532246624170, 'Eugene Rivas', 243, 40238, 42430, 4, 2515, 67400),
('Visa', 'GE Capital', 4718949222189420, 'Lupe N Dowdy', 851, 42675, 43040, 16, 6785, 63700),
('Visa', 'GE Capital', 4197737149602690, 'Amanda Y Burke', 235, 40695, 43252, 4, 7945, 133300),
