
insert into TabladeEmpleados values(526540, 'Angelique', 'K', 'Goodwin', 'F', 'angelique.goodwin@gmail.com', '5/15/1964', '0.157476851851852', '3/24/2001', '212-884-7146', '471-57-0359', 'akgoodwin'),
(489275, 'Collene', 'O', 'Kidd', 'F', 'collene.kidd@shell.com', '2/25/1965', '0.619398148148148', '8/14/1993', '209-293-8759', '704-18-2387', 'cokidd'),
(500905, 'Harris', 'Z', 'Beavers', 'M', 'harris.beavers@shell.com', '9/14/1970', '0.552673611111111', '1/29/1999', '239-294-7204', '008-94-7794', 'hzbeavers'),
(984409, 'Kathe', 'B', 'John', 'F', 'kathe.john@gmail.com', '6/15/1992', '0.1559375', '12/28/2013', '216-961-7231', '444-27-9644', 'kbjohn'),
(812053, 'Ashly', 'E', 'Stanton', 'F', 'ashly.stanton@gmail.com', '12/13/1992', '0.36650462962963', '41914', '217-304-4274', '385-37-9974', 'aestanton'),
(550206, 'Geraldo', 'E', 'Easley', 'M', 'geraldo.easley@shaw.ca', '3/28/1974', '0.626030092592593', '37412', '210-374-1084', '556-99-1014', 'geeasley'),
(728053, 'Leigh', 'R', 'Fite', 'M', 'leigh.fite@gmail.com', '7/16/1967', '0.619143518518519', '38052', '217-348-2881', '548-99-7981', 'lrfite'),
(184257, 'Devon', 'I', 'Knox', 'F', 'devon.knox@gmail.com', '3/24/1979', '0.159421296296296', '38420', '236-433-5011', '344-11-4272', 'diknox'),
(235295, 'Yevette', 'D', 'Mullis', 'F', 'yevette.mullis@gmail.com', '26515', '0.321111111111111', '10/14/1995', '216-407-3106', '031-92-8075', 'ydmullis'),
(767674, 'Irena', 'Z', 'Dang', 'F', 'irena.dang@gmail.com', '1/22/1972', '0.426180555555556', '2/24/2009', '236-666-5736', '636-31-2014', 'izdang'),
(391837, 'Cory', 'L', 'Hayden', 'M', 'cory.hayden@gmail.com', '7/20/1966', '0.0976157407407407', '3/31/1992', '262-617-9565', '109-98-9846', 'clhayden'),
(466560, 'Dolores', 'A', 'Begley', 'F', 'dolores.begley@hotmail.com', '12/16/1981', '0.523449074074074', '3/21/2016', '209-877-7013', '019-94-6803', 'dabegley'),
(900756, 'Benjamin', 'O', 'Doss', 'M', 'benjamin.doss@gmail.com', '30687', '0.139895833333333', '3/31/2010', '229-413-6404', '607-87-2621', 'bodoss'),
(678628, 'Theron', 'I', 'Farmer', 'M', 'theron.farmer@gmail.com', '5/16/1969', '0.97087962962963', '42223', '217-297-4629', '430-99-8830', 'tifarmer'),
(492527, 'Hilton', 'N', 'Mcgehee', 'M', 'hilton.mcgehee@microsoft.com', '7/26/1986', '0.0249768518518519', '3/18/2009', '231-885-2299', '042-15-4369', 'hnmcgehee'),
(886060, 'Sixta', 'J', 'Beaudoin', 'F', 'sixta.beaudoin@gmail.com', '27487', '0.732453703703704', '2/29/2004', '236-832-1401', '399-31-6070', 'sjbeaudoin'),
(366431, 'Sade', 'U', 'Shay', 'F', 'sade.shay@gmail.com', '34497', '0.0227662037037037', '1/20/2016', '405-620-5457', '693-16-3108', 'sushay'),
(331297, 'Shemika', 'E', 'Beckman', 'F', 'shemika.beckman@hotmail.com', '10/18/1967', '0.0246527777777778', '37804', '314-817-2178', '625-85-6937', 'sebeckman'),
(496541, 'Winfred', 'X', 'Gonzales', 'M', 'winfred.gonzales@aol.com', '23653', '0.620486111111111', '1/18/2016', '215-259-8618', '466-99-0813', 'wxgonzales'),
(654617, 'Rogelio', 'Z', 'Woodall', 'M', 'rogelio.woodall@gmail.com', '12/19/1972', '0.529421296296296', '12/22/1996', '316-362-8838', '218-89-5439', 'rzwoodall'),
(163409, 'Damion', 'C', 'Rafferty', 'M', 'damion.rafferty@yahoo.com', '10/27/1974', '0.720462962962963', '3/20/2015', '217-846-4054', '235-57-9815', 'dcrafferty'),
(299088, 'Dannie', 'I', 'Catron', 'M', 'dannie.catron@earthlink.net', '4/20/1979', '0.954502314814815', '10/13/2016', '215-403-5296', '073-02-8837', 'dicatron'),
(961442, 'Stephan', 'M', 'Titus', 'M', 'stephan.titus@hotmail.com', '25022', '0.645266203703704', '10/17/2009', '219-474-8565', '235-57-1721', 'smtitus'),
(155097, 'Dorian', 'J', 'Sage', 'M', 'dorian.sage@shaw.ca', '7/27/1970', '0.818125', '7/14/1992', '270-256-2491', '553-99-7803', 'djsage'),
(976422, 'Jake', 'W', 'Espinal', 'M', 'jake.espinal@shaw.ca', '1/19/1959', '0.728530092592593', '9/25/2003', '209-739-8484', '594-99-8803', 'jwespinal'),
(138911, 'Claudio', 'L', 'Heck', 'M', 'claudio.heck@aol.com', '9/28/1967', '0.324537037037037', '5/14/2005', '215-359-3397', '366-39-9069', 'clheck'),
(160938, 'Marcel', 'X', 'Trotter', 'M', 'marcel.trotter@aol.com', '31049', '0.38150462962963', '4/25/2006', '605-487-4676', '763-12-7919', 'mxtrotter'),
(399707, 'Dillon', 'Y', 'Dominguez', 'M', 'dillon.dominguez@gmail.com', '10/22/1963', '0.487731481481482', '1/29/2015', '218-530-8020', '285-15-0592', 'dydominguez'),
(713294, 'Sammy', 'Y', 'Dewitt', 'M', 'sammy.dewitt@ibm.com', '1/24/1988', '0.483541666666667', '41771', '206-468-7536', '729-28-6911', 'sydewitt'),
(627298, 'Sterling', 'A', 'Serna', 'M', 'sterling.serna@hotmail.com', '4/15/1985', '0.582476851851852', '11/17/2015', '212-483-9629', '512-33-9199', 'saserna'),
(709884, 'Ivonne', 'K', 'Manning', 'F', 'ivonne.manning@yahoo.ca', '9/13/1977', '0.840891203703704', '6/29/2002', '701-819-7127', '609-87-3514', 'ikmanning'),
(932773, 'Clair', 'E', 'Harwell', 'M', 'clair.harwell@bp.com', '25150', '0.918125', '4/14/1991', '212-335-3305', '626-85-0761', 'ceharwell'),
(796605, 'Jenni', 'A', 'Goolsby', 'F', 'jenni.goolsby@gmail.com', '5/13/1971', '0.576296296296296', '38635', '236-425-5880', '250-99-6761', 'jagoolsby'),
(885395, 'Tayna', 'K', 'Poston', 'F', 'tayna.poston@yahoo.ca', '1/15/1958', '0.00604166666666667', '1/30/2016', '209-247-2504', '714-18-2827', 'tkposton'),
(411503, 'Vern', 'F', 'Mackenzie', 'M', 'vern.mackenzie@gmail.com', '30017', '0.519895833333333', '12/31/2016', '236-780-5288', '234-57-0893', 'vfmackenzie'),
(622405, 'Harrison', 'X', 'Hawk', 'M', 'harrison.hawk@hotmail.co.uk', '7/19/1962', '0.413888888888889', '6/26/2006', '210-998-7839', '592-99-9799', 'hxhawk'),
(233136, 'Preston', 'U', 'Tribble', 'M', 'preston.tribble@exxonmobil.com', '28956', '0.969837962962963', '3/20/2004', '208-571-4789', '149-23-1759', 'putribble'),
(170637, 'Aleen', 'S', 'Araujo', 'F', 'aleen.araujo@gmail.com', '28768', '0.661967592592593', '38179', '205-492-3826', '133-98-0581', 'asaraujo'),
(215719, 'Brent', 'U', 'Carrillo', 'M', 'brent.carrillo@aol.com', '26699', '0.252962962962963', '3/30/2013', '239-728-0228', '258-99-5725', 'bucarrillo'),
(452163, 'Adalberto', 'Y', 'Tate', 'M', 'adalberto.tate@shaw.ca', '3/31/1982', '0.0175810185185185', '8/15/2009', '216-500-3888', '032-92-8729', 'aytate'),
(572204, 'Rafael', 'R', 'Weeks', 'M', 'rafael.weeks@gmail.com', '33791', '0.357395833333333', '10/31/2016', '212-678-8854', '546-99-1086', 'rrweeks'),
(779517, 'Aurea', 'H', 'Pullen', 'F', 'aurea.pullen@gmail.com', '7/22/1973', '0.0833564814814815', '10/25/2016', '239-814-5354', '622-85-5122', 'ahpullen'),
(844157, 'Ramiro', 'Q', 'Holguin', 'M', 'ramiro.holguin@gmail.com', '21191', '0.238969907407407', '11/18/2002', '216-690-4327', '104-02-1961', 'rqholguin'),
(312726, 'Celine', 'C', 'Lumpkin', 'F', 'celine.lumpkin@gmail.com', '12/31/1986', '0.590636574074074', '1/22/2008', '216-897-4459', '368-39-3103', 'cclumpkin'),
(419549, 'Bryant', 'L', 'Naylor', 'M', 'bryant.naylor@hotmail.com', '7/19/1993', '0.153796296296296', '10/21/2014', '207-532-1710', '698-16-4709', 'blnaylor'),
(505927, 'Oswaldo', 'U', 'Winchester', 'M', 'oswaldo.winchester@gmail.com', '21766', '0.870011574074074', '32821', '479-931-1345', '728-14-6144', 'ouwinchester'),
(526254, 'Kacy', 'G', 'Crandall', 'F', 'kacy.crandall@hotmail.com', '22502', '0.498287037037037', '12/25/1983', '229-215-2471', '171-86-6831', 'kgcrandall'),
(460226, 'Brock', 'E', 'Hutcherson', 'M', 'brock.hutcherson@hotmail.com', '34853', '0.024212962962963', '10/16/2016', '803-570-5060', '086-02-8001', 'behutcherson'),
(840113, 'Ramiro', 'N', 'Conover', 'M', 'ramiro.conover@earthlink.net', '7/26/1992', '0.247418981481481', '9/16/2016', '207-947-9487', '494-29-8376', 'rnconover'),
(432820, 'Myron', 'N', 'Marble', 'M', 'myron.marble@gmail.com', '12/13/1980', '0.51056712962963', '38327', '225-988-8557', '183-86-5370', 'mnmarble'),
(957596, 'Freeman', 'H', 'Kern', 'M', 'freeman.kern@gmail.com', '23322', '0.374502314814815', '32055', '303-480-2041', '393-33-5849', 'fhkern'),
(530134, 'Mathew', 'O', 'Whitfield', 'M', 'mathew.whitfield@gmail.com', '31665', '0.920405092592593', '8/25/2015', '405-928-3699', '772-02-3040', 'mowhitfield'),
(316372, 'Alexander', 'C', 'Goad', 'M', 'alexander.goad@cox.net', '5/21/1965', '0.177361111111111', '7/24/1994', '314-361-0820', '450-99-8615', 'acgoad'),
(501658, 'Renee', 'X', 'Beverly', 'F', 'renee.beverly@rediffmail.com', '28132', '0.597037037037037', '7/18/2015', '308-954-6249', '684-24-1555', 'rxbeverly'),
(147133, 'Tommie', 'B', 'Weller', 'M', 'tommie.weller@cox.net', '21801', '0.47525462962963', '7/15/2002', '229-783-2920', '194-86-7809', 'tbweller'),
(551149, 'Michale', 'Q', 'Colson', 'M', 'michale.colson@comcast.net', '11/18/1961', '0.28818287037037', '8/20/2002', '209-400-0883', '229-99-7364', 'mqcolson'),
(595558, 'Denisha', 'Z', 'Fitch', 'F', 'denisha.fitch@msn.com', '10/21/1990', '0.0343981481481481', '4/28/2017', '210-936-6841', '216-89-7736', 'dzfitch'),
(637407, 'Napoleon', 'G', 'Kelsey', 'M', 'napoleon.kelsey@hotmail.com', '34888', '0.491041666666667', '42594', '239-723-6178', '608-87-5484', 'ngkelsey'),
(597741, 'Tonya', 'F', 'Wilson', 'F', 'tonya.wilson@aol.com', '4/27/1980', '0.823564814814815', '41456', '215-652-7491', '019-94-9784', 'tfwilson'),
(403534, 'Clement', 'U', 'Hidalgo', 'M', 'clement.hidalgo@gmail.com', '22162', '0.615219907407407', '32449', '339-645-9620', '224-99-4650', 'cuhidalgo'),
(314661, 'Charles', 'A', 'Quintero', 'F', 'charles.quintero@gmail.com', '3/27/1958', '0.574583333333333', '12/22/2012', '218-660-1183', '094-02-8828', 'caquintero'),
(317987, 'Chastity', 'U', 'Pineda', 'F', 'chastity.pineda@shaw.ca', '27642', '0.353344907407407', '6/19/2010', '262-613-2602', '279-15-4975', 'cupineda'),
(820109, 'Verna', 'Q', 'Michaud', 'F', 'verna.michaud@gmail.com', '34064', '0.0580092592592593', '10/20/2015', '215-235-0637', '564-99-2134', 'vqmichaud'),
(388558, 'Alfred', 'O', 'Beamon', 'M', 'alfred.beamon@gmail.com', '23199', '0.0843287037037037', '3/22/2003', '406-343-5419', '251-99-8106', 'aobeamon'),
(403207, 'Michal', 'T', 'Maurer', 'F', 'michal.maurer@yahoo.com', '27984', '0.806655092592593', '36530', '252-347-9978', '237-99-0766', 'mtmaurer'),
(143711, 'Wenona', 'X', 'Carmichael', 'F', 'wenona.carmichael@yahoo.com', '8/31/1964', '0.999976851851852', '8/31/2005', '219-271-2278', '480-41-9877', 'wxcarmichael'),
(402180, 'Allan', 'V', 'Bernhardt', 'M', 'allan.bernhardt@gmail.com', '1/24/1962', '0.279594907407407', '31809', '202-909-9740', '526-99-3494', 'avbernhardt'),
(242388, 'Nam', 'Y', 'Schmidt', 'F', 'nam.schmidt@yahoo.co.uk', '34185', '0.421354166666667', '1/27/2016', '219-802-6287', '657-36-5472', 'nyschmidt'),
(819367, 'Yolande', 'B', 'Piper', 'F', 'yolande.piper@gmail.com', '24360', '0.836550925925926', '4/14/1998', '219-233-1861', '713-18-3200', 'ybpiper'),
(962291, 'Whitney', 'Q', 'Shipman', 'M', 'whitney.shipman@gmail.com', '10/26/1982', '0.0320717592592593', '5/18/2007', '319-963-4464', '172-86-7071', 'wqshipman'),
(856379, 'Terence', 'B', 'Ferro', 'M', 'terence.ferro@gmail.com', '1/18/1982', '0.566851851851852', '4/23/2015', '262-874-4684', '375-37-5783', 'tbferro'),
(149972, 'Alberto', 'G', 'Riley', 'M', 'alberto.riley@gmail.com', '1/13/1974', '0.253553240740741', '12/17/2004', '217-352-2731', '345-11-4018', 'agriley'),
(174955, 'Jacqueline', 'J', 'Burk', 'F', 'jacqueline.burk@verizon.net', '6/28/1989', '0.555868055555556', '9/23/2012', '212-683-7962', '695-16-1567', 'jjburk'),
(549389, 'Clemente', 'M', 'Gould', 'M', 'clemente.gould@hotmail.com', '12/31/1961', '0.345185185185185', '33644', '228-485-0919', '271-17-5467', 'cmgould'),
(466832, 'Chang', 'K', 'Roden', 'F', 'chang.roden@yahoo.com', '32333', '0.461215277777778', '40337', '316-256-7851', '074-02-9202', 'ckroden'),
(203380, 'Marvin', 'R', 'Nickel', 'M', 'marvin.nickel@ibm.com', '11/25/1986', '0.479409722222222', '41070', '270-750-7760', '552-99-5545', 'mrnickel'),
(915991, 'Eldora', 'Y', 'Tribble', 'F', 'eldora.tribble@earthlink.net', '5/29/1995', '0.138113425925926', '10/17/2016', '236-584-1916', '763-12-2082', 'eytribble'),
(289172, 'Azzie', 'L', 'Layman', 'F', 'azzie.layman@hotmail.co.uk', '22441', '0.812233796296296', '3/26/2004', '503-456-5899', '637-29-1007', 'allayman'),
(914365, 'Titus', 'M', 'Latimer', 'M', 'titus.latimer@gmail.com', '7/24/1971', '0.0484837962962963', '35801', '239-704-4125', '610-87-7233', 'tmlatimer'),
(971242, 'Shantell', 'R', 'Long', 'F', 'shantell.long@gmail.com', '2/26/1977', '0.4378125', '38787', '239-779-6881', '316-35-1388', 'srlong'),
(503248, 'Cameron', 'N', 'Irvin', 'F', 'cameron.irvin@yahoo.com', '10/18/1959', '0.40943287037037', '3/18/2011', '215-648-9854', '581-99-6741', 'cnirvin'),
(521540, 'Virgilio', 'G', 'Messer', 'M', 'virgilio.messer@aol.com', '3/25/1993', '0.858414351851852', '3/17/2017', '228-619-6163', '059-02-1664', 'vgmesser'),
(790395, 'Eboni', 'S', 'Lujan', 'F', 'eboni.lujan@hotmail.com', '12/15/1993', '0.797986111111111', '43041', '219-794-0888', '210-84-1639', 'eslujan'),
(734861, 'Ward', 'H', 'Gauthier', 'M', 'ward.gauthier@hotmail.com', '8/22/1968', '0.507997685185185', '10/29/2015', '215-745-8103', '266-99-7408', 'whgauthier'),
(592815, 'Yasuko', 'A', 'Gandy', 'F', 'yasuko.gandy@gmail.com', '29377', '0.613263888888889', '41463', '319-314-0412', '521-99-8324', 'yagandy'),
(556008, 'Agustin', 'W', 'Eden', 'M', 'agustin.eden@yahoo.co.in', '22407', '0.254236111111111', '42007', '212-845-0969', '057-02-2445', 'aweden'),
(888597, 'Sunny', 'U', 'Mccreary', 'F', 'sunny.mccreary@rediffmail.com', '6/21/1978', '0.16525462962963', '38543', '229-527-8021', '372-37-7461', 'sumccreary'),
(946550, 'Janyce', 'U', 'Hollenbeck', 'F', 'janyce.hollenbeck@gmail.com', '4/30/1966', '0.884699074074074', '1/20/1990', '209-678-1933', '342-11-9004', 'juhollenbeck'),
(438869, 'Bernardo', 'T', 'Caron', 'M', 'bernardo.caron@cox.net', '30692', '0.228680555555556', '39479', '215-845-4719', '038-74-5390', 'btcaron'),
(685600, 'Leon', 'G', 'Keeling', 'M', 'leon.keeling@gmail.com', '10/13/1995', '0.996354166666667', '12/25/2016', '405-226-2075', '319-11-0384', 'lgkeeling'),
(829901, 'Walker', 'H', 'Foley', 'M', 'walker.foley@hotmail.com', '5/14/1960', '0.867604166666667', '8/24/2002', '229-527-7910', '595-99-8027', 'whfoley'),
(354626, 'Rolando', 'O', 'Bickford', 'M', 'rolando.bickford@gmail.com', '10/16/1975', '0.490196759259259', '43071', '209-737-1379', '553-99-6101', 'robickford'),
(296454, 'Glenn', 'Q', 'Pace', 'M', 'glenn.pace@gmail.com', '6/22/1984', '0.789502314814815', '41920', '236-328-6409', '752-09-7279', 'gqpace'),
(867400, 'Tandy', 'J', 'Binkley', 'F', 'tandy.binkley@msn.com', '4/29/1963', '0.24537037037037', '8/30/2005', '252-683-3737', '232-57-9549', 'tjbinkley'),
(354161, 'Irving', 'W', 'Toler', 'M', 'irving.toler@exxonmobil.com', '2/20/1990', '0.135069444444444', '2/22/2012', '236-646-5436', '641-29-9943', 'iwtoler'),
(906193, 'Elin', 'F', 'Mayes', 'F', 'elin.mayes@aol.com', '9/23/1983', '0.600532407407407', '4/20/2006', '308-303-1948', '225-99-8157', 'efmayes'),
(602041, 'William', 'V', 'Katz', 'M', 'william.katz@shell.com', '6/17/1976', '0.30369212962963', '1/18/2001', '209-277-1616', '327-11-9115', 'wvkatz'),
(514224, 'Silvana', 'O', 'Leclair', 'F', 'silvana.leclair@gmail.com', '34678', '0.0264351851851852', '8/22/2016', '210-859-2715', '383-37-6040', 'soleclair'),
(834046, 'Kirby', 'E', 'Hendrick', 'M', 'kirby.hendrick@aol.com', '21399', '0.711435185185185', '2/19/1979', '503-959-7981', '526-99-8096', 'kehendrick'),
(538803, 'Rubin', 'A', 'Newman', 'M', 'rubin.newman@outlook.com', '28404', '0.0308333333333333', '35892', '802-982-1649', '275-17-9161', 'ranewman'),
(487412, 'Lee', 'P', 'Roderick', 'M', 'lee.roderick@aol.com', '6/25/1963', '0.2721875', '4/28/2009', '802-929-8971', '200-84-6800', 'lproderick'),
(286281, 'Jesus', 'X', 'Maupin', 'M', 'jesus.maupin@gmail.com', '5/23/1958', '0.97443287037037', '3/15/1996', '316-723-8265', '297-15-2986', 'jxmaupin'),
(788924, 'Riley', 'L', 'Yocum', 'M', 'riley.yocum@earthlink.net', '23720', '0.00260416666666667', '12/18/2013', '210-766-5431', '517-49-0656', 'rlyocum'),
(416576, 'Nova', 'O', 'Bouchard', 'F', 'nova.bouchard@gmail.com', '23472', '0.241701388888889', '1/26/2003', '503-706-0989', '158-23-2636', 'nobouchard'),
(960215, 'Shandra', 'H', 'Layman', 'F', 'shandra.layman@gmail.com', '26940', '0.577268518518519', '11/16/2013', '803-947-9609', '087-02-2019', 'shlayman'),
(549513, 'Jacquie', 'C', 'Burkett', 'F', 'jacquie.burkett@aol.com', '31626', '0.762615740740741', '42675', '316-271-2147', '712-18-5548', 'jcburkett'),
(509864, 'Nelle', 'E', 'Kenney', 'F', 'nelle.kenney@microsoft.com', '2/25/1989', '0.767615740740741', '42502', '304-792-0166', '410-99-4072', 'nekenney'),
(832966, 'Rich', 'O', 'Whitmore', 'M', 'rich.whitmore@hotmail.com', '5/30/1991', '0.0436458333333333', '9/26/2015', '210-631-2976', '177-86-6630', 'rowhitmore'),
(306746, 'Antoine', 'U', 'Hendrick', 'M', 'antoine.hendrick@yahoo.com', '22046', '0.356712962962963', '35067', '210-219-7162', '378-37-7236', 'auhendrick'),
(945031, 'Blaine', 'K', 'Judkins', 'M', 'blaine.judkins@gmail.com', '5/14/1986', '0.912708333333333', '40300', '316-420-8616', '539-71-5918', 'bkjudkins'),
(684637, 'Raymundo', 'E', 'Poirier', 'M', 'raymundo.poirier@aol.com', '12/14/1986', '0.283344907407407', '39479', '209-788-7068', '234-57-8075', 'repoirier'),
(891328, 'Blair', 'B', 'Tapia', 'M', 'blair.tapia@hotmail.com', '10/30/1969', '0.3059375', '7/14/2007', '206-240-3118', '696-16-8728', 'bbtapia'),
(383614, 'Charley', 'Z', 'Cabrera', 'M', 'charley.cabrera@gmail.com', '4/21/1984', '0.167453703703704', '40433', '209-357-7761', '577-53-0701', 'czcabrera'),
(180789, 'Heath', 'Y', 'Hartley', 'M', 'heath.hartley@cox.net', '5/27/1975', '0.661469907407407', '4/15/2016', '210-915-4433', '644-29-8319', 'hyhartley'),
(356050, 'Zack', 'P', 'Singh', 'M', 'zack.singh@gmail.com', '32115', '0.978935185185185', '41185', '209-729-3523', '290-15-0680', 'zpsingh'),
(185465, 'Zaida', 'W', 'Odum', 'F', 'zaida.odum@btinternet.com', '4/19/1967', '0.143993055555556', '40788', '228-838-9422', '640-29-1045', 'zwodum'),
(687184, 'Porfirio', 'P', 'Slone', 'M', 'porfirio.slone@hotmail.com', '6/22/1990', '0.0843981481481482', '42039', '803-501-0042', '078-02-1441', 'ppslone'),
(489916, 'Ryan', 'F', 'Morrell', 'M', 'ryan.morrell@hotmail.com', '10/20/1979', '0.0412731481481482', '2/14/2006', '319-725-8852', '090-02-4009', 'rfmorrell'),
(435833, 'Luther', 'N', 'Hannan', 'M', 'luther.hannan@yahoo.com', '7/19/1995', '0.154976851851852', '42714', '205-216-9412', '387-33-3179', 'lnhannan'),
(702411, 'Deon', 'B', 'Elizondo', 'M', 'deon.elizondo@yahoo.com', '8/25/1993', '0.857037037037037', '2/18/2017', '802-758-2397', '516-49-5225', 'dbelizondo'),
(645244, 'Dana', 'K', 'Brinson', 'F', 'dana.brinson@gmail.com', '11/13/1989', '0.179733796296296', '41679', '316-413-5135', '421-67-4265', 'dkbrinson'),
(755710, 'Manual', 'W', 'Dupuis', 'M', 'manual.dupuis@yahoo.com', '1/15/1978', '0.432372685185185', '40062', '270-744-3635', '639-29-6270', 'mwdupuis'),
(329638, 'Kenton', 'P', 'Franz', 'M', 'kenton.franz@gmail.com', '27010', '0.394652777777778', '9/26/2014', '405-474-7118', '588-09-5147', 'kpfranz'),
(947428, 'Julian', 'A', 'Bull', 'M', 'julian.bull@gmail.com', '5/20/1981', '0.00752314814814815', '40397', '236-757-5051', '141-23-7445', 'jabull'),
(353117, 'Deon', 'K', 'Heath', 'M', 'deon.heath@gmail.com', '21678', '0.224097222222222', '6/20/2001', '252-580-6674', '010-94-4764', 'dkheath'),
(525537, 'Angela', 'S', 'Landers', 'F', 'angela.landers@verizon.net', '21531', '0.332037037037037', '1/17/1981', '219-292-3037', '761-12-5423', 'aslanders'),
(117598, 'Heidi', 'Z', 'Reiter', 'F', 'heidi.reiter@gmail.com', '28195', '0.596539351851852', '40122', '210-553-1524', '464-99-9442', 'hzreiter'),
(957898, 'Gayle', 'K', 'Green', 'M', 'gayle.green@gmail.com', '1/16/1961', '0.716099537037037', '12/17/2016', '270-515-2891', '172-86-3413', 'gkgreen'),
(643106, 'Janey', 'L', 'Swift', 'F', 'janey.swift@yahoo.com', '28954', '0.853171296296296', '9/29/2016', '239-915-0793', '144-23-4311', 'jlswift'),
(691376, 'Emilio', 'X', 'Courtney', 'M', 'emilio.courtney@hotmail.com', '29254', '0.930115740740741', '1/19/2014', '210-412-3816', '040-15-3814', 'excourtney'),
(290435, 'Brinda', 'R', 'Lowell', 'F', 'brinda.lowell@charter.net', '5/16/1980', '0.861053240740741', '6/15/2015', '262-530-0013', '595-99-7201', 'brlowell'),
(428318, 'Alexander', 'V', 'Lange', 'M', 'alexander.lange@yahoo.com', '10/14/1963', '0.094837962962963', '5/28/1994', '219-639-3924', '562-99-3370', 'avlange'),
